award_date,case_id,declaration_date,notification_date,parcel_id,possession_date,source_type,status
2026-11-13,AC00001,2026-07-01,2026-05-17,P00001,,SYNTHETIC,compensation_pending
2025-05-30,AC00002,2025-01-15,2024-12-01,P00002,2025-09-27,SYNTHETIC,possessed
2025-11-24,AC00003,2025-07-12,2025-05-28,P00003,2026-03-24,SYNTHETIC,possessed
2025-08-03,AC00004,2025-03-21,2025-02-04,P00004,2025-12-01,SYNTHETIC,possessed
,AC00005,,2024-09-06,P00005,,SYNTHETIC,notified
2026-09-07,AC00006,2026-04-25,2026-03-11,P00006,,SYNTHETIC,compensation_pending
2024-11-05,AC00007,2024-06-23,2024-05-09,P00007,2025-03-05,SYNTHETIC,possessed
2025-05-17,AC00008,2025-01-02,2024-11-18,P00008,2025-09-14,SYNTHETIC,possessed
2025-11-13,AC00009,2025-07-01,2025-05-17,P00009,2026-03-13,SYNTHETIC,possessed
,AC00010,,2024-04-07,P00010,,SYNTHETIC,notified
2025-09-19,AC00011,2025-05-07,2025-03-23,P00011,2026-01-17,SYNTHETIC,possessed
2025-07-31,AC00012,2025-03-18,2025-02-01,P00012,2025-11-28,SYNTHETIC,possessed
2026-01-15,AC00013,2025-09-02,2025-07-19,P00013,2026-05-15,SYNTHETIC,possessed
,AC00014,,2025-01-02,P00014,,SYNTHETIC,notified
,AC00015,,2025-08-03,P00015,,SYNTHETIC,notified
2025-06-15,AC00016,2025-01-31,2024-12-17,P00016,2025-10-13,SYNTHETIC,possessed
2025-10-20,AC00017,2025-06-07,2025-04-23,P00017,2026-02-17,SYNTHETIC,possessed
,AC00018,,2026-04-03,P00018,,SYNTHETIC,notified
2025-09-04,AC00019,2025-04-22,2025-03-08,P00019,2026-01-02,SYNTHETIC,possessed
,AC00020,,2024-05-30,P00020,,SYNTHETIC,notified
,AC00021,,2024-12-14,P00021,,SYNTHETIC,notified
,AC00022,,2025-08-17,P00022,,SYNTHETIC,notified
,AC00023,,2025-04-07,P00023,,SYNTHETIC,notified
2026-10-16,AC00024,2026-06-03,2026-04-19,P00024,2027-02-13,SYNTHETIC,possessed
2026-01-30,AC00025,2025-09-17,2025-08-03,P00025,2026-05-30,SYNTHETIC,possessed
,AC00026,,2025-07-12,P00026,,SYNTHETIC,notified
,AC00027,,2025-02-23,P00027,,SYNTHETIC,notified
,AC00028,,2025-05-19,P00028,,SYNTHETIC,notified
,AC00029,,2026-06-10,P00029,,SYNTHETIC,notified
2026-02-02,AC00030,2025-09-20,2025-08-06,P00030,2026-06-02,SYNTHETIC,possessed
,AC00031,,2025-07-14,P00031,,SYNTHETIC,notified
2026-04-25,AC00032,2025-12-11,2025-10-27,P00032,,SYNTHETIC,compensation_pending
2024-11-29,AC00033,2024-07-17,2024-06-02,P00033,2025-03-29,SYNTHETIC,possessed
2025-05-07,AC00034,2024-12-23,2024-11-08,P00034,,SYNTHETIC,compensation_pending
2025-02-25,AC00035,2024-10-13,2024-08-29,P00035,2025-06-25,SYNTHETIC,possessed
,AC00036,,2025-01-19,P00036,,SYNTHETIC,notified
2026-04-27,AC00037,2025-12-13,2025-10-29,P00037,2026-08-25,SYNTHETIC,possessed
,AC00038,,2024-04-12,P00038,,SYNTHETIC,notified
,AC00039,,2026-04-11,P00039,,SYNTHETIC,notified
,AC00040,,2025-04-05,P00040,,SYNTHETIC,notified
,AC00041,,2025-03-10,P00041,,SYNTHETIC,notified
,AC00042,,2025-10-23,P00042,,SYNTHETIC,notified
2026-06-21,AC00043,2026-02-06,2025-12-23,P00043,,SYNTHETIC,compensation_pending
2025-01-08,AC00044,2024-08-26,2024-07-12,P00044,2025-05-08,SYNTHETIC,possessed
2025-09-10,AC00045,2025-04-28,2025-03-14,P00045,2026-01-08,SYNTHETIC,possessed
2026-08-04,AC00046,2026-03-22,2026-02-05,P00046,,SYNTHETIC,compensation_pending
,AC00047,,2025-04-10,P00047,,SYNTHETIC,notified
,AC00048,,2026-03-28,P00048,,SYNTHETIC,notified
2026-10-19,AC00049,2026-06-06,2026-04-22,P00049,2027-02-16,SYNTHETIC,possessed
2026-04-08,AC00050,2025-11-24,2025-10-10,P00050,,SYNTHETIC,compensation_pending
2026-07-18,AC00051,2026-03-05,2026-01-19,P00051,2026-11-15,SYNTHETIC,possessed
,AC00052,,2025-04-15,P00052,,SYNTHETIC,notified
2025-02-12,AC00053,2024-09-30,2024-08-16,P00053,2025-06-12,SYNTHETIC,possessed
,AC00054,,2025-09-26,P00054,,SYNTHETIC,notified
