action,actor_id,entity_id,entity_type,source_type,timestamp
created,system,P00001,parcel,SYNTHETIC,2026-05-17
created,system,P00002,parcel,SYNTHETIC,2024-12-01
created,system,P00003,parcel,SYNTHETIC,2025-05-28
created,system,P00004,parcel,SYNTHETIC,2025-02-04
created,system,P00005,parcel,SYNTHETIC,2024-09-06
created,system,P00006,parcel,SYNTHETIC,2026-03-11
created,system,P00007,parcel,SYNTHETIC,2024-05-09
created,system,P00008,parcel,SYNTHETIC,2024-11-18
created,system,P00009,parcel,SYNTHETIC,2025-05-17
created,system,P00010,parcel,SYNTHETIC,2024-04-07
created,system,P00011,parcel,SYNTHETIC,2025-03-23
created,system,P00012,parcel,SYNTHETIC,2025-02-01
created,system,P00013,parcel,SYNTHETIC,2025-07-19
created,system,P00014,parcel,SYNTHETIC,2025-01-02
created,system,P00015,parcel,SYNTHETIC,2025-08-03
created,system,P00016,parcel,SYNTHETIC,2024-12-17
created,system,P00017,parcel,SYNTHETIC,2025-04-23
created,system,P00018,parcel,SYNTHETIC,2026-04-03
created,system,P00019,parcel,SYNTHETIC,2025-03-08
created,system,P00020,parcel,SYNTHETIC,2024-05-30
created,system,P00021,parcel,SYNTHETIC,2024-12-14
created,system,P00022,parcel,SYNTHETIC,2025-08-17
created,system,P00023,parcel,SYNTHETIC,2025-04-07
created,system,P00024,parcel,SYNTHETIC,2026-04-19
created,system,P00025,parcel,SYNTHETIC,2025-08-03
created,system,P00026,parcel,SYNTHETIC,2025-07-12
created,system,P00027,parcel,SYNTHETIC,2025-02-23
created,system,P00028,parcel,SYNTHETIC,2025-05-19
created,system,P00029,parcel,SYNTHETIC,2026-06-10
created,system,P00030,parcel,SYNTHETIC,2025-08-06
created,system,P00031,parcel,SYNTHETIC,2025-07-14
created,system,P00032,parcel,SYNTHETIC,2025-10-27
created,system,P00033,parcel,SYNTHETIC,2024-06-02
created,system,P00034,parcel,SYNTHETIC,2024-11-08
created,system,P00035,parcel,SYNTHETIC,2024-08-29
created,system,P00036,parcel,SYNTHETIC,2025-01-19
created,system,P00037,parcel,SYNTHETIC,2025-10-29
created,system,P00038,parcel,SYNTHETIC,2024-04-12
created,system,P00039,parcel,SYNTHETIC,2026-04-11
created,system,P00040,parcel,SYNTHETIC,2025-04-05
created,system,P00041,parcel,SYNTHETIC,2025-03-10
created,system,P00042,parcel,SYNTHETIC,2025-10-23
created,system,P00043,parcel,SYNTHETIC,2025-12-23
created,system,P00044,parcel,SYNTHETIC,2024-07-12
created,system,P00045,parcel,SYNTHETIC,2025-03-14
created,system,P00046,parcel,SYNTHETIC,2026-02-05
created,system,P00047,parcel,SYNTHETIC,2025-04-10
created,system,P00048,parcel,SYNTHETIC,2026-03-28
created,system,P00049,parcel,SYNTHETIC,2026-04-22
created,system,P00050,parcel,SYNTHETIC,2025-10-10
created,system,P00051,parcel,SYNTHETIC,2026-01-19
created,system,P00052,parcel,SYNTHETIC,2025-04-15
created,system,P00053,parcel,SYNTHETIC,2024-08-16
created,system,P00054,parcel,SYNTHETIC,2025-09-26
created,system,P00055,parcel,SYNTHETIC,2025-07-31
