asset_value,case_id,compensation_id,compensation_status,interest_12pct_amount,market_value_base,multiplier_factor,severance_damage,solatium_amount,source_type,subtotal_before_solatium,total_compensation
747988.69,AC00001,CR00001,disputed,288387.89,2923932.78,1.5,23016.14,5156904.0,MODEL_DERIVED,5156904.0,10602195.89
340557.91,AC00002,CR00002,disbursed,180767.82,1832784.83,1.59,38417.45,3293103.24,MODEL_DERIVED,3293103.24,6766974.3
95272.08,AC00003,CR00003,disbursed,68505.35,694568.12,1.65,32263.33,1273572.81,MODEL_DERIVED,1273572.81,2615650.97
814069.59,AC00004,CR00004,disbursed,303837.22,3080571.77,1.93,135432.75,6895005.86,MODEL_DERIVED,6895005.86,14093848.94
287066.63,AC00006,CR00006,disbursed,607136.32,6155687.65,1.74,86720.18,11084683.32,MODEL_DERIVED,11084683.32,22776502.96
73787.54,AC00007,CR00007,disbursed,150133.81,1522189.98,1.98,33627.88,3121351.58,MODEL_DERIVED,3121351.58,6392836.97
41615.02,AC00008,CR00008,disbursed,327086.43,3316292.94,1.43,60464.56,4844378.48,MODEL_DERIVED,4844378.48,10015843.39
1367304.42,AC00009,CR00009,disbursed,485571.73,4923157.82,1.75,58274.76,10041105.37,MODEL_DERIVED,10041105.37,20567782.47
80730.34,AC00011,CR00011,disbursed,30461.13,308841.97,1.82,3442.41,646265.14,MODEL_DERIVED,646265.14,1322991.41
537859.4,AC00012,CR00012,disbursed,329774.9,3343551.06,1.98,157019.37,7315109.87,MODEL_DERIVED,7315109.87,14959994.64
996179.9,AC00013,CR00013,disbursed,540261.33,5477649.6,1.31,140069.82,8311970.7,MODEL_DERIVED,8311970.7,17164202.73
224333.85,AC00016,CR00016,disbursed,78430.93,795202.47,1.42,26930.25,1380451.61,MODEL_DERIVED,1380451.61,2839334.15
252781.19,AC00017,CR00017,disbursed,257894.01,2614758.7,1.61,57758.19,4520300.89,MODEL_DERIVED,4520300.89,9298495.79
180767.46,AC00019,CR00019,disbursed,130496.9,1323093.56,1.77,58622.1,2581265.16,MODEL_DERIVED,2581265.16,5293027.22
444730.06,AC00024,CR00024,disbursed,435354.16,4414007.45,1.23,197091.35,6071050.57,MODEL_DERIVED,6071050.57,12577455.3
204142.0,AC00025,CR00025,disbursed,324487.52,3289942.93,1.42,69112.41,4944973.37,MODEL_DERIVED,4944973.37,10214434.26
113809.79,AC00030,CR00030,disbursed,49153.25,498359.37,1.33,9447.06,786074.81,MODEL_DERIVED,786074.81,1621302.87
98372.55,AC00032,CR00032,disputed,212240.21,2151879.87,1.02,13580.62,2306870.64,MODEL_DERIVED,2306870.64,4825981.49
197378.3,AC00033,CR00033,disbursed,396245.68,4017490.94,1.78,62479.8,7410991.97,MODEL_DERIVED,7410991.97,15218229.62
160502.1,AC00034,CR00034,disputed,517832.55,5250246.65,1.63,202785.76,8921189.9,MODEL_DERIVED,8921189.9,18360212.35
370452.43,AC00035,CR00035,disbursed,356921.03,3618782.63,1.51,153721.48,5988535.68,MODEL_DERIVED,5988535.68,12333992.39
766945.35,AC00037,CR00037,disbursed,285999.89,2899721.06,1.09,35356.8,3962998.11,MODEL_DERIVED,3962998.11,8211996.11
99978.09,AC00043,CR00043,disputed,45363.22,459932.66,1.48,22458.67,803137.1,MODEL_DERIVED,803137.1,1651637.42
314551.24,AC00044,CR00044,disbursed,106142.51,1076167.08,1.27,29775.34,1711058.77,MODEL_DERIVED,1711058.77,3528260.05
948732.87,AC00045,CR00045,disbursed,323058.46,3275453.79,1.34,41349.07,5379190.02,MODEL_DERIVED,5379190.02,11081438.5
81174.17,AC00046,CR00046,disputed,313302.57,3176539.9,1.95,39419.42,6314846.39,MODEL_DERIVED,6314846.39,12942995.35
154385.48,AC00049,CR00049,disbursed,73627.78,746503.92,1.41,17539.58,1224495.59,MODEL_DERIVED,1224495.59,2522618.96
856019.9,AC00050,CR00050,disputed,425647.94,4315597.15,1.63,201466.85,8091910.1,MODEL_DERIVED,8091910.1,16609468.14
286023.78,AC00051,CR00051,disbursed,114087.14,1156716.81,1.6,53277.94,2190048.62,MODEL_DERIVED,2190048.62,4494184.38
638193.43,AC00053,CR00053,disbursed,220677.37,2237423.37,1.58,111823.33,4285145.68,MODEL_DERIVED,4285145.68,8790968.73
370489.05,AC00056,CR00056,disbursed,267804.93,2715244.38,1.55,42699.55,4621817.39,MODEL_DERIVED,4621817.39,9511439.71
502327.84,AC00059,CR00059,disbursed,531452.31,5388335.94,1.71,3684.13,9720066.43,MODEL_DERIVED,9720066.43,19971585.17
382882.64,AC00060,CR00060,disbursed,302965.46,3071733.17,1.71,74105.5,5709651.86,MODEL_DERIVED,5709651.86,11722269.18
698539.76,AC00064,CR00064,disputed,289826.78,2938521.56,1.99,95798.59,6641996.25,MODEL_DERIVED,6641996.25,13573819.28
9610.61,AC00065,CR00065,disbursed,205872.72,2087320.66,1.91,15044.93,4011438.0,MODEL_DERIVED,4011438.0,8228748.72
51458.03,AC00069,CR00069,disbursed,39280.77,398263.39,1.36,4862.74,597958.98,MODEL_DERIVED,597958.98,1235198.73
66104.33,AC00070,CR00070,disbursed,93600.4,949004.06,1.58,30268.7,1595799.44,MODEL_DERIVED,1595799.44,3285199.28
