edge_type,from_node_id,from_node_type,is_blocking,source_type,to_node_id,to_node_type,weight_days
has,P00001,parcel,False,SYNTHETIC,AC00001,acquisition_case,
requires,AC00001,acquisition_case,True,SYNTHETIC,CR00001,compensation_record,60
required_for,P00001,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00002,parcel,False,SYNTHETIC,AC00002,acquisition_case,
required_for,P00002,parcel,False,SYNTHETIC,S03,project_segment,60
has,P00003,parcel,False,SYNTHETIC,AC00003,acquisition_case,
required_for,P00003,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00004,parcel,False,SYNTHETIC,AC00004,acquisition_case,
required_for,P00004,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00005,parcel,False,SYNTHETIC,AC00005,acquisition_case,
blocked_by,VF00005,verification,True,SYNTHETIC,D00005,document,30
required_for,P00005,parcel,True,SYNTHETIC,S02,project_segment,60
has,P00006,parcel,False,SYNTHETIC,AC00006,acquisition_case,
requires,AC00006,acquisition_case,True,SYNTHETIC,RR00006,rr_record,90
required_for,P00006,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00007,parcel,False,SYNTHETIC,AC00007,acquisition_case,
required_for,P00007,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00008,parcel,False,SYNTHETIC,AC00008,acquisition_case,
required_for,P00008,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00009,parcel,False,SYNTHETIC,AC00009,acquisition_case,
required_for,P00009,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00010,parcel,False,SYNTHETIC,AC00010,acquisition_case,
blocks,LC00010,legal_case,True,SYNTHETIC,AC00010,acquisition_case,400
required_for,P00010,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00011,parcel,False,SYNTHETIC,AC00011,acquisition_case,
required_for,P00011,parcel,False,SYNTHETIC,S04,project_segment,60
has,P00012,parcel,False,SYNTHETIC,AC00012,acquisition_case,
required_for,P00012,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00013,parcel,False,SYNTHETIC,AC00013,acquisition_case,
required_for,P00013,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00014,parcel,False,SYNTHETIC,AC00014,acquisition_case,
required_for,P00014,parcel,True,SYNTHETIC,S03,project_segment,60
has,P00015,parcel,False,SYNTHETIC,AC00015,acquisition_case,
required_for,P00015,parcel,True,SYNTHETIC,S04,project_segment,60
has,P00016,parcel,False,SYNTHETIC,AC00016,acquisition_case,
required_for,P00016,parcel,False,SYNTHETIC,S01,project_segment,60
has,P00017,parcel,False,SYNTHETIC,AC00017,acquisition_case,
required_for,P00017,parcel,False,SYNTHETIC,S02,project_segment,60
has,P00018,parcel,False,SYNTHETIC,AC00018,acquisition_case,
