case_id,document_id,document_status,document_type,parcel_id,source_type,upload_date
AC00001,D00001,under_verification,notification,P00001,SYNTHETIC,2026-05-22
AC00002,D00002,verified,mutation_certificate,P00002,SYNTHETIC,2024-12-06
AC00003,D00003,under_verification,notification,P00003,SYNTHETIC,2025-06-02
AC00004,D00004,verified,notification,P00004,SYNTHETIC,2025-02-09
AC00005,D00005,verified,mutation_certificate,P00005,SYNTHETIC,2024-09-11
AC00006,D00006,verified,title_deed,P00006,SYNTHETIC,2026-03-16
AC00007,D00007,verified,notification,P00007,SYNTHETIC,2024-05-14
AC00008,D00008,under_verification,notification,P00008,SYNTHETIC,2024-11-23
AC00009,D00009,verified,notification,P00009,SYNTHETIC,2025-05-22
AC00010,D00010,submitted,notification,P00010,SYNTHETIC,2024-04-12
AC00011,D00011,verified,title_deed,P00011,SYNTHETIC,2025-03-28
AC00012,D00012,verified,title_deed,P00012,SYNTHETIC,2025-02-06
AC00013,D00013,verified,mutation_certificate,P00013,SYNTHETIC,2025-07-24
AC00014,D00014,verified,mutation_certificate,P00014,SYNTHETIC,2025-01-07
AC00015,D00015,verified,mutation_certificate,P00015,SYNTHETIC,2025-08-08
AC00016,D00016,under_verification,mutation_certificate,P00016,SYNTHETIC,2024-12-22
AC00017,D00017,verified,mutation_certificate,P00017,SYNTHETIC,2025-04-28
AC00018,D00018,submitted,notification,P00018,SYNTHETIC,2026-04-08
AC00019,D00019,verified,mutation_certificate,P00019,SYNTHETIC,2025-03-13
AC00020,D00020,submitted,notification,P00020,SYNTHETIC,2024-06-04
AC00021,D00021,verified,notification,P00021,SYNTHETIC,2024-12-19
AC00022,D00022,under_verification,title_deed,P00022,SYNTHETIC,2025-08-22
AC00023,D00023,submitted,mutation_certificate,P00023,SYNTHETIC,2025-04-12
AC00024,D00024,verified,notification,P00024,SYNTHETIC,2026-04-24
AC00025,D00025,verified,mutation_certificate,P00025,SYNTHETIC,2025-08-08
AC00026,D00026,verified,title_deed,P00026,SYNTHETIC,2025-07-17
AC00027,D00027,missing,notification,P00027,SYNTHETIC,
AC00028,D00028,submitted,title_deed,P00028,SYNTHETIC,2025-05-24
AC00029,D00029,missing,notification,P00029,SYNTHETIC,
AC00030,D00030,submitted,title_deed,P00030,SYNTHETIC,2025-08-11
AC00031,D00031,missing,notification,P00031,SYNTHETIC,
AC00032,D00032,verified,mutation_certificate,P00032,SYNTHETIC,2025-11-01
AC00033,D00033,under_verification,mutation_certificate,P00033,SYNTHETIC,2024-06-07
AC00034,D00034,submitted,mutation_certificate,P00034,SYNTHETIC,2024-11-13
AC00035,D00035,verified,title_deed,P00035,SYNTHETIC,2024-09-03
AC00036,D00036,verified,mutation_certificate,P00036,SYNTHETIC,2025-01-24
AC00037,D00037,verified,title_deed,P00037,SYNTHETIC,2025-11-03
AC00038,D00038,verified,title_deed,P00038,SYNTHETIC,2024-04-17
AC00039,D00039,verified,title_deed,P00039,SYNTHETIC,2026-04-16
AC00040,D00040,submitted,notification,P00040,SYNTHETIC,2025-04-10
AC00041,D00041,verified,title_deed,P00041,SYNTHETIC,2025-03-15
AC00042,D00042,verified,mutation_certificate,P00042,SYNTHETIC,2025-10-28
AC00043,D00043,verified,title_deed,P00043,SYNTHETIC,2025-12-28
AC00044,D00044,verified,notification,P00044,SYNTHETIC,2024-07-17
AC00045,D00045,submitted,notification,P00045,SYNTHETIC,2025-03-19
AC00046,D00046,verified,title_deed,P00046,SYNTHETIC,2026-02-10
AC00047,D00047,missing,title_deed,P00047,SYNTHETIC,
AC00048,D00048,missing,notification,P00048,SYNTHETIC,
AC00049,D00049,verified,title_deed,P00049,SYNTHETIC,2026-04-27
AC00050,D00050,verified,mutation_certificate,P00050,SYNTHETIC,2025-10-15
AC00051,D00051,verified,title_deed,P00051,SYNTHETIC,2026-01-24
AC00052,D00052,verified,notification,P00052,SYNTHETIC,2025-04-20
AC00053,D00053,verified,title_deed,P00053,SYNTHETIC,2024-08-21
AC00054,D00054,verified,mutation_certificate,P00054,SYNTHETIC,2025-10-01
AC00055,D00055,verified,notification,P00055,SYNTHETIC,2025-08-05
AC00056,D00056,verified,title_deed,P00056,SYNTHETIC,2025-05-28
AC00057,D00057,missing,notification,P00057,SYNTHETIC,
AC00058,D00058,verified,notification,P00058,SYNTHETIC,2025-12-16
AC00059,D00059,verified,notification,P00059,SYNTHETIC,2024-10-27
AC00060,D00060,verified,title_deed,P00060,SYNTHETIC,2024-07-09
AC00061,D00061,submitted,title_deed,P00061,SYNTHETIC,2026-02-23
AC00062,D00062,verified,title_deed,P00062,SYNTHETIC,2024-06-29
AC00063,D00063,under_verification,notification,P00063,SYNTHETIC,2025-12-31
AC00064,D00064,verified,notification,P00064,SYNTHETIC,2024-04-03
AC00065,D00065,submitted,notification,P00065,SYNTHETIC,2025-04-18
