parcel_id,record_date,record_id,record_type,source_type
P00001,2026-04-11,LR00001,jamabandi,SYNTHETIC
P00002,2025-12-04,LR00002,jamabandi,SYNTHETIC
P00003,2025-02-09,LR00003,jamabandi,SYNTHETIC
P00004,2025-05-27,LR00004,jamabandi,SYNTHETIC
P00005,2022-01-27,LR00005,jamabandi,SYNTHETIC
P00006,2025-02-11,LR00006,jamabandi,SYNTHETIC
P00007,2024-09-22,LR00007,jamabandi,SYNTHETIC
P00008,2024-07-11,LR00008,jamabandi,SYNTHETIC
P00009,2023-06-17,LR00009,jamabandi,SYNTHETIC
P00010,2024-04-15,LR00010,jamabandi,SYNTHETIC
P00011,2021-06-13,LR00011,jamabandi,SYNTHETIC
P00012,2023-01-01,LR00012,jamabandi,SYNTHETIC
P00013,2024-02-29,LR00013,jamabandi,SYNTHETIC
P00014,2022-01-28,LR00014,jamabandi,SYNTHETIC
P00015,2021-06-08,LR00015,jamabandi,SYNTHETIC
P00016,2024-12-09,LR00016,jamabandi,SYNTHETIC
P00017,2025-06-02,LR00017,jamabandi,SYNTHETIC
P00018,2024-09-19,LR00018,jamabandi,SYNTHETIC
P00019,2025-03-23,LR00019,jamabandi,SYNTHETIC
P00020,2026-07-26,LR00020,jamabandi,SYNTHETIC
P00021,2026-04-26,LR00021,jamabandi,SYNTHETIC
P00022,2023-04-05,LR00022,jamabandi,SYNTHETIC
P00023,2023-07-11,LR00023,jamabandi,SYNTHETIC
P00024,2024-02-18,LR00024,jamabandi,SYNTHETIC
P00025,2024-04-24,LR00025,jamabandi,SYNTHETIC
P00026,2021-04-24,LR00026,jamabandi,SYNTHETIC
P00027,2025-05-12,LR00027,jamabandi,SYNTHETIC
P00028,2022-02-14,LR00028,jamabandi,SYNTHETIC
P00029,2022-11-18,LR00029,jamabandi,SYNTHETIC
P00030,2024-06-21,LR00030,jamabandi,SYNTHETIC
P00031,2021-04-05,LR00031,jamabandi,SYNTHETIC
P00032,2021-04-10,LR00032,jamabandi,SYNTHETIC
P00033,2023-03-12,LR00033,jamabandi,SYNTHETIC
P00034,2026-03-04,LR00034,jamabandi,SYNTHETIC
P00035,2024-03-12,LR00035,jamabandi,SYNTHETIC
P00036,2022-06-26,LR00036,jamabandi,SYNTHETIC
P00037,2021-10-27,LR00037,jamabandi,SYNTHETIC
P00038,2024-08-10,LR00038,jamabandi,SYNTHETIC
P00039,2025-07-11,LR00039,jamabandi,SYNTHETIC
P00040,2023-11-05,LR00040,jamabandi,SYNTHETIC
P00041,2024-07-12,LR00041,jamabandi,SYNTHETIC
P00042,2024-11-17,LR00042,jamabandi,SYNTHETIC
P00043,2025-07-23,LR00043,jamabandi,SYNTHETIC
P00044,2026-07-09,LR00044,jamabandi,SYNTHETIC
P00045,2025-01-01,LR00045,jamabandi,SYNTHETIC
P00046,2025-09-30,LR00046,jamabandi,SYNTHETIC
P00047,2024-01-27,LR00047,jamabandi,SYNTHETIC
P00048,2022-06-13,LR00048,jamabandi,SYNTHETIC
P00049,2023-07-03,LR00049,jamabandi,SYNTHETIC
P00050,2021-06-01,LR00050,jamabandi,SYNTHETIC
P00051,2026-04-06,LR00051,jamabandi,SYNTHETIC
P00052,2023-10-30,LR00052,jamabandi,SYNTHETIC
P00053,2021-03-16,LR00053,jamabandi,SYNTHETIC
P00054,2024-02-13,LR00054,jamabandi,SYNTHETIC
P00055,2024-04-22,LR00055,jamabandi,SYNTHETIC
P00056,2022-11-19,LR00056,jamabandi,SYNTHETIC
P00057,2024-04-12,LR00057,jamabandi,SYNTHETIC
P00058,2026-04-23,LR00058,jamabandi,SYNTHETIC
P00059,2023-01-24,LR00059,jamabandi,SYNTHETIC
P00060,2021-05-14,LR00060,jamabandi,SYNTHETIC
P00061,2021-09-01,LR00061,jamabandi,SYNTHETIC
P00062,2025-01-04,LR00062,jamabandi,SYNTHETIC
P00063,2021-09-21,LR00063,jamabandi,SYNTHETIC
P00064,2022-08-23,LR00064,jamabandi,SYNTHETIC
P00065,2021-11-10,LR00065,jamabandi,SYNTHETIC
P00066,2024-05-14,LR00066,jamabandi,SYNTHETIC
P00067,2021-08-15,LR00067,jamabandi,SYNTHETIC
P00068,2025-04-28,LR00068,jamabandi,SYNTHETIC
P00069,2024-10-11,LR00069,jamabandi,SYNTHETIC
P00070,2022-10-07,LR00070,jamabandi,SYNTHETIC
P00071,2025-09-17,LR00071,jamabandi,SYNTHETIC
P00072,2025-12-31,LR00072,jamabandi,SYNTHETIC
P00073,2024-12-28,LR00073,jamabandi,SYNTHETIC
P00074,2022-10-12,LR00074,jamabandi,SYNTHETIC
P00075,2025-06-21,LR00075,jamabandi,SYNTHETIC
P00076,2022-01-28,LR00076,jamabandi,SYNTHETIC
P00077,2023-06-22,LR00077,jamabandi,SYNTHETIC
P00078,2024-10-04,LR00078,jamabandi,SYNTHETIC
P00079,2024-11-21,LR00079,jamabandi,SYNTHETIC
P00080,2023-07-27,LR00080,jamabandi,SYNTHETIC
P00081,2021-04-08,LR00081,jamabandi,SYNTHETIC
P00082,2024-05-13,LR00082,jamabandi,SYNTHETIC
P00083,2025-11-22,LR00083,jamabandi,SYNTHETIC
P00084,2021-10-13,LR00084,jamabandi,SYNTHETIC
P00085,2025-08-15,LR00085,jamabandi,SYNTHETIC
P00086,2026-05-10,LR00086,jamabandi,SYNTHETIC
P00087,2024-05-06,LR00087,jamabandi,SYNTHETIC
P00088,2025-10-07,LR00088,jamabandi,SYNTHETIC
P00089,2022-08-30,LR00089,jamabandi,SYNTHETIC
P00090,2026-01-24,LR00090,jamabandi,SYNTHETIC
P00091,2024-07-04,LR00091,jamabandi,SYNTHETIC
P00092,2022-07-22,LR00092,jamabandi,SYNTHETIC
P00093,2023-06-15,LR00093,jamabandi,SYNTHETIC
P00094,2022-09-16,LR00094,jamabandi,SYNTHETIC
P00095,2021-09-20,LR00095,jamabandi,SYNTHETIC
P00096,2024-11-06,LR00096,jamabandi,SYNTHETIC
P00097,2023-03-12,LR00097,jamabandi,SYNTHETIC
P00098,2023-04-10,LR00098,jamabandi,SYNTHETIC
P00099,2025-12-04,LR00099,jamabandi,SYNTHETIC
P00100,2024-04-30,LR00100,jamabandi,SYNTHETIC
P00101,2023-02-18,LR00101,jamabandi,SYNTHETIC
P00102,2022-06-01,LR00102,jamabandi,SYNTHETIC
P00103,2025-09-27,LR00103,jamabandi,SYNTHETIC
P00104,2023-02-04,LR00104,jamabandi,SYNTHETIC
P00105,2022-02-18,LR00105,jamabandi,SYNTHETIC
P00106,2021-12-07,LR00106,jamabandi,SYNTHETIC
