parcel_id,segment_id
P00001,S02
P00002,S03
P00003,S04
P00004,S01
P00005,S02
P00006,S03
P00007,S04
P00008,S01
P00009,S02
P00010,S03
P00011,S04
P00012,S01
P00013,S02
P00014,S03
P00015,S04
P00016,S01
P00017,S02
P00018,S03
P00019,S04
P00020,S01
P00021,S02
P00022,S03
P00023,S04
P00024,S01
P00025,S02
P00026,S03
P00027,S04
P00028,S01
P00029,S02
P00030,S03
P00031,S04
P00032,S01
P00033,S02
P00034,S03
P00035,S04
P00036,S01
P00037,S02
P00038,S03
P00039,S04
P00040,S01
P00041,S02
P00042,S03
P00043,S04
P00044,S01
P00045,S02
P00046,S03
P00047,S04
P00048,S01
P00049,S02
P00050,S03
P00051,S04
P00052,S01
P00053,S02
P00054,S03
P00055,S04
P00056,S01
P00057,S02
P00058,S03
P00059,S04
P00060,S01
P00061,S02
P00062,S03
P00063,S04
P00064,S01
P00065,S02
P00066,S03
P00067,S04
P00068,S01
P00069,S02
P00070,S03
P00071,S04
P00072,S01
P00073,S02
P00074,S03
P00075,S04
P00076,S01
P00077,S02
P00078,S03
P00079,S04
P00080,S01
P00081,S02
P00082,S03
P00083,S04
P00084,S01
P00085,S02
P00086,S03
P00087,S04
P00088,S01
P00089,S02
P00090,S03
P00091,S04
P00092,S01
P00093,S02
P00094,S03
P00095,S04
P00096,S01
P00097,S02
P00098,S03
P00099,S04
P00100,S01
P00101,S02
P00102,S03
P00103,S04
P00104,S01
P00105,S02
P00106,S03
P00107,S04
P00108,S01
P00109,S02
P00110,S03
P00111,S04
P00112,S01
P00113,S02
P00114,S03
P00115,S04
P00116,S01
P00117,S02
P00118,S03
P00119,S04
P00120,S01
P00121,S02
P00122,S03
P00123,S04
P00124,S01
P00125,S02
P00126,S03
P00127,S04
P00128,S01
P00129,S02
P00130,S03
P00131,S04
P00132,S01
P00133,S02
P00134,S03
P00135,S04
P00136,S01
P00137,S02
P00138,S03
P00139,S04
P00140,S01
P00141,S02
P00142,S03
P00143,S04
P00144,S01
P00145,S02
P00146,S03
P00147,S04
P00148,S01
P00149,S02
P00150,S03
P00151,S04
P00152,S01
P00153,S02
P00154,S03
P00155,S04
P00156,S01
P00157,S02
P00158,S03
P00159,S04
P00160,S01
P00161,S02
P00162,S03
P00163,S04
P00164,S01
P00165,S02
P00166,S03
P00167,S04
P00168,S01
P00169,S02
P00170,S03
P00171,S04
P00172,S01
P00173,S02
P00174,S03
P00175,S04
P00176,S01
P00177,S02
P00178,S03
P00179,S04
P00180,S01
P00181,S02
