acquisition_status,area_sqm,conflict_type,criticality_score,is_hidden_critical,land_use,owner_id,ownership_conflict,parcel_id,project_id,risk_score,scenario_tag,source_type,survey_number,village_id
award_declared,2400.9,none,,False,agricultural,O00004,False,P00001,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0001,V02
possessed,2461.1,none,,False,agricultural,O00005,False,P00002,P-NH927A,,clean,SYNTHETIC,V03-KH-0002,V03
possessed,1190.9,none,,False,agricultural,O00060,False,P00003,P-NH927A,,clean,SYNTHETIC,V01-KH-0003,V01
possessed,3994.1,none,,False,commercial,O00040,False,P00004,P-NH927A,,clean,SYNTHETIC,V02-KH-0004,V02
notified,2264.2,none,,False,agricultural,O00054,False,P00005,P-NH927A,,field_verification_pending,SYNTHETIC,V03-KH-0005,V03
compensated,3740.7,none,,False,agricultural,O00020,False,P00006,P-NH927A,,rr_pending,SYNTHETIC,V01-KH-0006,V01
possessed,2610.3,none,,False,residential,O00006,False,P00007,P-NH927A,,clean,SYNTHETIC,V02-KH-0007,V02
possessed,2825.9,none,,False,agricultural,O00057,False,P00008,P-NH927A,,clean,SYNTHETIC,V03-KH-0008,V03
possessed,2791.9,none,,False,agricultural,O00014,False,P00009,P-NH927A,,clean,SYNTHETIC,V01-KH-0009,V01
notified,881.6,none,,False,barren,O00002,False,P00010,P-NH927A,,legal_dispute,SYNTHETIC,V02-KH-0010,V02
possessed,347.2,none,,False,agricultural,O00056,False,P00011,P-NH927A,,clean,SYNTHETIC,V03-KH-0011,V03
possessed,3484.5,none,,False,commercial,O00018,False,P00012,P-NH927A,,clean,SYNTHETIC,V01-KH-0012,V01
possessed,3857.6,none,,False,agricultural,O00038,False,P00013,P-NH927A,,clean,SYNTHETIC,V02-KH-0013,V02
notified,368.7,boundary_dispute,,False,agricultural,O00017,True,P00014,P-NH927A,,ownership_mismatch,SYNTHETIC,V03-KH-0014,V03
notified,948.7,none,,False,agricultural,O00043,False,P00015,P-NH927A,,approval_bottleneck,SYNTHETIC,V01-KH-0015,V01
possessed,1375.3,none,,False,agricultural,O00033,False,P00016,P-NH927A,,clean,SYNTHETIC,V02-KH-0016,V02
possessed,1743.1,none,,False,residential,O00020,False,P00017,P-NH927A,,clean,SYNTHETIC,V03-KH-0017,V03
notified,522.2,duplicate_claim,,False,agricultural,O00043,True,P00018,P-NH927A,,duplicate_ownership,SYNTHETIC,V01-KH-0018,V01
possessed,1053.6,none,,False,agricultural,O00020,False,P00019,P-NH927A,,clean,SYNTHETIC,V02-KH-0019,V02
notified,2078.6,duplicate_claim,,False,agricultural,O00025,True,P00020,P-NH927A,,duplicate_ownership,SYNTHETIC,V03-KH-0020,V03
notified,868.4,boundary_dispute,,False,commercial,O00015,True,P00021,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0021,V01
notified,3245.4,none,,False,agricultural,O00009,False,P00022,P-NH927A,,field_verification_pending,SYNTHETIC,V02-KH-0022,V02
notified,2933.2,none,,False,agricultural,O00053,False,P00023,P-NH927A,,legal_dispute,SYNTHETIC,V03-KH-0023,V03
possessed,3155.2,none,,False,agricultural,O00050,False,P00024,P-NH927A,,clean,SYNTHETIC,V01-KH-0024,V01
possessed,2837.0,none,,False,residential,O00025,False,P00025,P-NH927A,,clean,SYNTHETIC,V02-KH-0025,V02
notified,3546.5,boundary_dispute,,False,agricultural,O00055,True,P00026,P-NH927A,,ownership_mismatch,SYNTHETIC,V03-KH-0026,V03
notified,3040.6,none,,False,agricultural,O00035,False,P00027,P-NH927A,,missing_documents,SYNTHETIC,V01-KH-0027,V01
notified,2045.4,duplicate_claim,,False,agricultural,O00028,True,P00028,P-NH927A,,duplicate_ownership,SYNTHETIC,V02-KH-0028,V02
notified,2229.7,none,,False,barren,O00040,False,P00029,P-NH927A,,missing_documents,SYNTHETIC,V03-KH-0029,V03
possessed,715.7,none,,False,agricultural,O00028,False,P00030,P-NH927A,,clean,SYNTHETIC,V01-KH-0030,V01
notified,511.2,none,,False,agricultural,O00054,False,P00031,P-NH927A,,missing_documents,SYNTHETIC,V02-KH-0031,V02
award_declared,3168.7,none,,False,agricultural,O00005,False,P00032,P-NH927A,,compensation_pending,SYNTHETIC,V03-KH-0032,V03
possessed,2858.0,none,,False,residential,O00030,False,P00033,P-NH927A,,clean,SYNTHETIC,V01-KH-0033,V01
award_declared,3841.1,none,,False,agricultural,O00059,False,P00034,P-NH927A,,compensation_pending,SYNTHETIC,V02-KH-0034,V02
possessed,3938.6,none,,False,residential,O00051,False,P00035,P-NH927A,,clean,SYNTHETIC,V03-KH-0035,V03
notified,3349.1,boundary_dispute,,False,residential,O00058,True,P00036,P-NH927A,,ownership_mismatch,SYNTHETIC,V01-KH-0036,V01
possessed,1855.2,none,,False,residential,O00030,False,P00037,P-NH927A,,clean,SYNTHETIC,V02-KH-0037,V02
notified,2078.4,boundary_dispute,,False,agricultural,O00002,True,P00038,P-NH927A,,ownership_mismatch,SYNTHETIC,V03-KH-0038,V03
