document_id,officer_id,parcel_id,source_type,status,verification_id,verification_type
D00001,OF002,P00001,SYNTHETIC,verified,VF00001,ownership
D00002,OF003,P00002,SYNTHETIC,verified,VF00002,ownership
D00003,OF004,P00003,SYNTHETIC,verified,VF00003,ownership
D00004,OF004,P00004,SYNTHETIC,verified,VF00004,ownership
D00005,OF005,P00005,SYNTHETIC,pending,VF00005,field
D00006,OF001,P00006,SYNTHETIC,verified,VF00006,ownership
D00007,OF001,P00007,SYNTHETIC,verified,VF00007,ownership
D00008,OF003,P00008,SYNTHETIC,verified,VF00008,ownership
D00009,OF004,P00009,SYNTHETIC,verified,VF00009,ownership
D00010,OF004,P00010,SYNTHETIC,verified,VF00010,ownership
D00011,OF003,P00011,SYNTHETIC,verified,VF00011,ownership
D00012,OF002,P00012,SYNTHETIC,verified,VF00012,ownership
D00013,OF002,P00013,SYNTHETIC,verified,VF00013,ownership
D00014,OF006,P00014,SYNTHETIC,verified,VF00014,ownership
D00015,OF001,P00015,SYNTHETIC,verified,VF00015,ownership
D00016,OF005,P00016,SYNTHETIC,verified,VF00016,ownership
D00017,OF002,P00017,SYNTHETIC,verified,VF00017,ownership
D00018,OF006,P00018,SYNTHETIC,verified,VF00018,ownership
D00019,OF006,P00019,SYNTHETIC,verified,VF00019,ownership
D00020,OF004,P00020,SYNTHETIC,verified,VF00020,ownership
D00021,OF004,P00021,SYNTHETIC,verified,VF00021,ownership
D00022,OF005,P00022,SYNTHETIC,pending,VF00022,field
D00023,OF003,P00023,SYNTHETIC,verified,VF00023,ownership
D00024,OF002,P00024,SYNTHETIC,verified,VF00024,ownership
D00025,OF001,P00025,SYNTHETIC,verified,VF00025,ownership
D00026,OF004,P00026,SYNTHETIC,verified,VF00026,ownership
D00027,OF003,P00027,SYNTHETIC,rejected,VF00027,ownership
D00028,OF002,P00028,SYNTHETIC,verified,VF00028,ownership
D00029,OF006,P00029,SYNTHETIC,rejected,VF00029,ownership
D00030,OF003,P00030,SYNTHETIC,verified,VF00030,ownership
D00031,OF006,P00031,SYNTHETIC,rejected,VF00031,ownership
D00032,OF002,P00032,SYNTHETIC,verified,VF00032,ownership
D00033,OF006,P00033,SYNTHETIC,verified,VF00033,ownership
D00034,OF001,P00034,SYNTHETIC,verified,VF00034,ownership
D00035,OF006,P00035,SYNTHETIC,verified,VF00035,ownership
D00036,OF004,P00036,SYNTHETIC,verified,VF00036,ownership
D00037,OF003,P00037,SYNTHETIC,verified,VF00037,ownership
D00038,OF005,P00038,SYNTHETIC,verified,VF00038,ownership
D00039,OF004,P00039,SYNTHETIC,verified,VF00039,ownership
D00040,OF003,P00040,SYNTHETIC,verified,VF00040,ownership
D00041,OF004,P00041,SYNTHETIC,verified,VF00041,ownership
D00042,OF002,P00042,SYNTHETIC,verified,VF00042,ownership
D00043,OF001,P00043,SYNTHETIC,verified,VF00043,ownership
D00044,OF006,P00044,SYNTHETIC,verified,VF00044,ownership
D00045,OF001,P00045,SYNTHETIC,verified,VF00045,ownership
D00046,OF005,P00046,SYNTHETIC,verified,VF00046,ownership
D00047,OF005,P00047,SYNTHETIC,rejected,VF00047,ownership
D00048,OF006,P00048,SYNTHETIC,rejected,VF00048,ownership
D00049,OF006,P00049,SYNTHETIC,verified,VF00049,ownership
D00050,OF002,P00050,SYNTHETIC,verified,VF00050,ownership
D00051,OF006,P00051,SYNTHETIC,verified,VF00051,ownership
